"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"USD/PYG - Dólar Americano Guarani Paraguaio","USD/PYG - Dólar Americano Guarani Paraguaio","FX","6.529,52","6,417.11","6,641.94","--","--","6.510,18","6.510,18","6.529,52","6.510,18","+19,34","+0,30%","-","--","","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Venda Forte","Venda Forte","0,30%","-0,04%","1,15%","-0,54%","-17,98%","-8,95%"
"Resverlogix Corp.","RVXCF.PK","OTC","0,0770","-","-","--","--","0,0770","0,0770","0,0770","0,0770","+0,0031","+4,19%","1.700","31.03.2026","25/03","24.020.000","","20.618","-0,025","-3,04","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda","Neutro","Neutro","4,19%","2,67%","-10,98%","3,77%","149,51%","-32,19%"
"CBOE NASDAQ 100 Volatility",".VXN","CBOE","27,65","-","-","--","--","27,24","25,06","28,59","26,73","-1,09","-3,79%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra","Compra Forte","Compra Forte","-3,79%","2,79%","12,77%","41,36%","23,38%","10,29%"
"Vanguard Total Bond Market Index Fund ETF Shares","BND.O","NASDAQ","73,54","-","-","73,41","--","73,57","73,54","73,62","73,45","+0,28","+0,38%","9.313.455","--","25/03","151.400.000.000","","9.812.949","-","-","-","2,7339","3,72%","Neutro","Neutro","Neutro","Neutro","Venda","Venda Forte","Venda Forte","Venda Forte","0,38%","-0,30%","-2,17%","-0,72%","0,88%","0,19%"
"iShares Core U.S. Aggregate Bond ETF","AGG","NYSE","99,11","-","-","98,63","--","99,15","99,11","99,21","99,00","+0,35","+0,35%","16.242.712","--","25/03","139.170.000.000","4.830.000.000","9.960.561","3,02","33,19","0,265","3,7965","3,83%","Neutro","Neutro","Compra","Neutro","Venda","Venda Forte","Venda Forte","Venda Forte","0,35%","-0,38%","-2,26%","-0,77%","0,97%","0,03%"
"iShares TIPS Bond ETF","TIP","NYSE","110,16","-","-","110,50","--","110,11","110,16","110,17","109,93","+0,33","+0,30%","4.294.542","--","25/03","14.120.000.000","687.030.000","2.768.364","-0,616","-179,35","0,297","4,1035","3,73%","Compra Forte","Compra Forte","Compra Forte","Neutro","Venda Forte","Venda Forte","Venda Forte","Neutro","0,30%","-0,86%","-1,54%","0,23%","0,06%","1,03%"
"USD/COP - Dólar Americano Peso Colombiano","USD/COP - Dólar Americano Peso Colombiano","FX","3.701,35","3.699,60","3.703,10","--","--","3.702,40","3.702,40","3.702,52","3.700,45","-1,05","-0,03%","-","--","08:30:01","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","-0,03%","0,51%","-1,17%","-1,84%","-11,37%","-20,84%"
"BB ETF Índice DAP5 B3 Fundo de Índice - Resp Limitada","BDAP11=SA","BVMF","12,38","12,01","12,38","--","--","12,38","12,38","12,39","12,37","+0,03","+0,24%","1.250","--","25/03","1.240.000","","775","-","-","-","-","-","Compra","Compra","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,24%","0,24%","0,57%","-","-","-"
"Futuros de Cupom de DI x IPCA","DAPc4","BM&F Bovespa","97.406,72","8,43","8,88","--","--","97.406,72","97.406,72","97.406,72","97.406,72","+17,84","+0,02%","-","--","25/03","-","","-","-","-","-","-","-","Neutro","Neutro","Neutro","Neutro","Neutro","Venda Forte","Neutro","Neutro","0,02%","0,18%","-0,26%","-0,22%","-0,26%","1.458.084,47%"
"Futuros de Cupom de DI x IPCA","DAPc3","BM&F Bovespa","98.442,21","7,58","8,03","--","--","98.442,21","98.442,21","98.442,21","98.442,21","+17,44","+0,02%","-","--","25/03","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra","Compra","0,02%","0,17%","0,03%","0,02%","0,04%","1.648.848,30%"
"Futuros de Cupom de DI x IPCA","DAPc2","BM&F Bovespa","99.094,92","7,53","8,28","--","--","99.094,92","99.094,92","99.094,92","99.094,92","+20,96","+0,02%","-","--","25/03","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra","Compra","Compra Forte","Compra","Compra","0,02%","0,16%","0,12%","0,29%","0,04%","1.744.528,93%"
"Futuros de Cupom de DI x IPCA","DAPc1","BM&F Bovespa","99.553,21","5,00","5,19","--","--","5,19","99.553,21","99.553,21","5,00","+27,03","+0,03%","2.900","--","25/03","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Venda","Neutro","Compra","0,03%","0,13%","-0,27%","-0,01%","-0,16%","1.809.958,36%"
"Centrais Eletricas Brasileiras SA   Eletrobras DRC","AXIA.K","NYSE","11,200","-","-","11,000","-1,786%","11,260","11,200","11,315","11,110","+0,210","+1,91%","3.199.082","05.05.2026","25/03","32.170.000.000","41.280.000.000","2.162.589","2,2963","27,44","0,31","3,02","27,07%","Venda Forte","Neutro","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra Forte","Compra Forte","1,91%","0,99%","-7,28%","22,27%","87,22%","121,73%"
"Ambev SA ADR","ABEV.K","NYSE","2,850","-","-","2,830","--","2,830","2,850","2,880","2,810","+0,070","+2,52%","23.474.501","05.05.2026","25/03","44.870.000.000","88.240.000.000","24.332.215","0,9885","15,17","0,28","0,1919","6,73%","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra","Compra Forte","2,52%","1,79%","-9,81%","15,38%","23,38%","7,14%"
"USD/SEK - Dólar Americano Coroa Sueca","USD/SEK - Dólar Americano Coroa Sueca","FX","9,3807","9,3707","9,3907","--","--","9,3385","9,3444","9,3870","9,3370","+0,0363","+0,39%","-","--","08:30:45","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Venda Forte","0,40%","1,01%","3,90%","1,86%","-6,14%","-9,57%"
