"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"USD/CLP - Dólar Americano Peso Chileno","USD/CLP - Dólar Americano Peso Chileno","FX","920,20","919,70","920,70","--","--","915,58","915,58","927,09","916,28","+4,62","+0,50%","-","--","11:30:39","-","","-","-","-","-","-","-","Compra","Compra","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","0,72%","1,06%","5,55%","2,38%","-1,20%","14,48%"
"USD/ARS - Dólar Americano Peso Argentino","USD/ARS - Dólar Americano Peso Argentino","FX","1.373,1112","1.373,1062","1.373,1162","--","--","1.376,7917","1.376,7917","1.382,5480","1.373,1112","-3,6805","-0,27%","-","--","11:31:01","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda","Compra Forte","-0,22%","-1,52%","-1,66%","-5,36%","28,19%","562,30%"
"USD/PYG - Dólar Americano Guarani Paraguaio","USD/PYG - Dólar Americano Guarani Paraguaio","FX","6.540,38","6.427,67","6.653,08","--","--","6.510,18","6.510,18","6.540,38","6.510,18","+30,20","+0,46%","-","--","11:30:01","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Venda Forte","Venda Forte","0,46%","0,13%","1,32%","-0,37%","-17,85%","-8,80%"
"Resverlogix Corp.","RVXCF.PK","OTC","0,0770","-","-","--","--","0,0770","0,0770","0,0770","0,0770","+0,0000","+0,00%","-","31.03.2026","25/03","26.290.000","","20.618","-0,025","-3,04","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda","Neutro","Neutro","0,00%","2,67%","-10,98%","3,77%","149,51%","-32,19%"
"CBOE NASDAQ 100 Volatility",".VXN","CBOE","27,65","-","-","--","--","27,24","25,06","28,59","26,73","0,00","0,00%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra","Compra Forte","Compra Forte","0,00%","2,79%","12,77%","41,36%","23,38%","10,29%"
"Vanguard Total Bond Market Index Fund ETF Shares","BND.O","NASDAQ","73,39","-","-","--","--","73,33","73,54","73,43","73,31","-0,15","-0,21%","1.689.430","--","11:30:39","151.400.000.000","","9.812.949","-","-","-","2,7339","3,72%","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","-0,21%","-0,50%","-2,37%","-0,92%","0,67%","-0,01%"
"iShares Core U.S. Aggregate Bond ETF","AGG","NYSE","98,92","-","-","--","--","98,89","99,11","98,97","98,84","-0,19","-0,19%","2.140.773","--","11:30:46","139.170.000.000","4.830.000.000","9.960.561","3,02","33,19","0,265","3,7965","3,83%","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","-0,19%","-0,56%","-2,44%","-0,95%","0,78%","-0,15%"
"iShares TIPS Bond ETF","TIP","NYSE","110,12","-","-","--","--","110,12","110,16","110,21","110,11","-0,05","-0,04%","301.182","--","11:30:31","14.120.000.000","687.030.000","2.768.364","-0,616","-179,35","0,297","4,1035","3,73%","Venda Forte","Neutro","Neutro","Neutro","Venda Forte","Venda Forte","Venda Forte","Neutro","-0,04%","-0,89%","-1,57%","0,19%","0,03%","0,99%"
"USD/COP - Dólar Americano Peso Colombiano","USD/COP - Dólar Americano Peso Colombiano","FX","3.700,39","3.698,64","3.702,14","--","--","3.702,40","3.702,40","3.717,03","3.700,39","-2,01","-0,05%","-","--","11:30:01","-","","-","-","-","-","-","-","Compra","Compra Forte","Neutro","Neutro","Venda","Venda","Venda Forte","Venda Forte","-0,05%","0,49%","-1,20%","-1,87%","-11,39%","-20,86%"
"BB ETF Índice DAP5 B3 Fundo de Índice - Resp Limitada","BDAP11=SA","BVMF","12,37","12,36","12,37","--","--","12,42","12,38","12,42","12,36","-0,01","-0,08%","173","--","11:16:00","1.240.000","","775","-","-","-","-","-","Venda Forte","Venda Forte","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","-0,08%","0,16%","0,49%","-","-","-"
